"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Giovanni (LAT)","América-MG","8,89",2,"14,30","7,70","-0,92",5,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2","Thiago Rodrigues (GOL)","Paraná","6,48",1,"11,50","11,50","1,48",NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rodriguinho (MEI)","Corinthians","24,64",4,"10,95","0,00","0,00",4,4,1,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,10
"4","Lucas Paquetá (MEI)","Flamengo","21,76",5,"10,68","3,60","-2,06",18,2,1,NA,16,4,4,NA,NA,NA,NA,NA,1,NA,NA,7,NA,17
"5","Rafael (GOL)","Cruzeiro","7,71",1,"10,50","0,00","0,00",NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
"6","Gustavo Blanco (MEI)","Atlético-MG","19,12",5,"10,04","0,00","0,00",26,NA,3,NA,1,2,4,2,NA,NA,NA,NA,3,NA,NA,15,1,9
"7","Arrascaeta (MEI)","Cruzeiro","17,70",5,"9,82","0,70","-3,28",13,1,2,NA,12,6,7,1,NA,NA,NA,NA,1,NA,NA,10,NA,12
"8","Trauco (LAT)","Flamengo","7,34",2,"9,75","0,00","0,00",4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4
"9","Everton (ATA)","Grêmio","15,02",4,"9,47","0,00","0,00",8,1,2,NA,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5
"10","Jailson (GOL)","Palmeiras","17,25",5,"9,44","14,00","1,70",NA,NA,NA,2,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,3,NA,NA,6
"11","Róger Guedes (ATA)","Atlético-MG","13,85",6,"9,35","10,90","0,46",4,5,NA,NA,21,6,6,NA,NA,NA,NA,NA,1,NA,NA,9,1,18
"12","Arthur (MEI)","Grêmio","16,80",4,"9,22","0,00","0,00",11,1,1,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"13","Sidcley (LAT)","Corinthians","16,41",5,"9,18","0,00","0,00",15,1,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7
"14","Dedé (ZAG)","Cruzeiro","11,25",4,"8,88","0,00","0,00",9,2,NA,2,4,3,2,NA,NA,NA,NA,NA,3,NA,NA,6,NA,6
"15","Caio Monteiro (ATA)","Vasco","5,05",2,"8,60","0,00","0,00",2,1,1,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6
"16","Pedro Geromel (ZAG)","Grêmio","17,65",3,"8,57","0,00","0,00",12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2
"17","Júnior (LAT)","Paraná","6,04",2,"8,20","15,90","3,73",7,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"18","Edson (MEI)","Bahia","7,14",1,"8,20","8,20","0,14",5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"19","Gatito Fernández (GOL)","Botafogo","14,65",2,"8,05","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,2,NA,NA,3
"20","Paolo Guerrero (ATA)","Flamengo","13,78",2,"8,05","0,00","0,00",NA,1,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
"21","Thiago Carleto (LAT)","Atlético-PR","16,94",6,"7,97","5,00","-0,96",9,1,2,2,9,6,6,1,NA,NA,NA,NA,2,NA,NA,4,NA,24
"22","Rodrigo Moledo (ZAG)","Internacional","13,12",5,"7,86","12,30","1,77",10,1,NA,4,5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,7,1,6
"23","Pedro (ATA)","Fluminense","13,80",6,"7,80","5,00","-0,55",4,3,2,NA,15,4,5,NA,NA,NA,NA,NA,1,NA,NA,11,NA,8
"24","Éder Militão (LAT)","São Paulo","14,27",5,"7,78","6,40","0,38",13,1,NA,3,6,5,NA,NA,NA,NA,NA,NA,2,NA,NA,6,NA,12
"25","Vinicius Junior (ATA)","Flamengo","16,17",6,"7,72","7,60","0,45",2,4,2,NA,11,4,3,NA,NA,NA,NA,NA,1,NA,NA,5,1,20
"26","Neris (ZAG)","Paraná","5,55",1,"7,70","7,70","0,55",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"27","Patrick (MEI)","Internacional","16,97",6,"7,37","12,00","2,12",23,1,1,NA,7,4,2,NA,NA,NA,NA,NA,1,NA,NA,13,NA,13
"28","Nino Paraíba (LAT)","Bahia","13,84",5,"7,34","6,50","0,39",16,NA,NA,2,11,2,2,NA,NA,NA,NA,NA,1,NA,NA,3,NA,11
"29","Yago Pikachu (LAT)","Vasco","14,90",5,"7,34","4,80","-1,01",4,2,NA,NA,16,5,6,1,NA,NA,NA,NA,NA,NA,NA,4,2,15
"30","Balbuena (ZAG)","Corinthians","17,41",4,"7,30","0,00","0,00",14,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12
"31","Zeca (LAT)","Internacional","9,82",2,"7,20","5,60","0,01",5,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8
"32","Christian (MEI)","América-MG","11,21",2,"7,20","0,00","0,00",7,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"33","Otero (MEI)","Atlético-MG","18,43",6,"7,12","5,90","0,76",7,1,NA,NA,12,6,10,3,NA,NA,NA,NA,NA,NA,NA,6,2,12
"34","Wallyson (ATA)","Vitória","10,80",4,"7,05","11,10","1,96",4,1,2,NA,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,12
"35","Serginho (MEI)","América-MG","17,81",6,"7,02","2,40","-0,62",8,2,2,NA,10,5,4,NA,NA,NA,NA,NA,NA,NA,NA,10,1,14
"36","Bruno Cortez (LAT)","Grêmio","15,03",5,"6,96","5,80","-0,10",13,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,14
"37","Marcos Rocha (LAT)","Palmeiras","13,19",6,"6,90","13,20","2,67",18,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,27
"38","Shaylon (MEI)","São Paulo","4,70",1,"6,90","0,00","0,00",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
"39","Clayson (ATA)","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6
"40","Pio (MEI)","Ceará","7,60",4,"6,83","-0,60","-2,77",12,1,1,NA,2,3,4,NA,NA,NA,1,NA,NA,NA,NA,5,1,13
"41","Víctor Cuesta (ZAG)","Internacional","16,32",6,"6,82","6,50","0,30",23,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,12,NA,12
"42","Egídio (LAT)","Cruzeiro","9,36",3,"6,80","0,00","0,00",9,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4
"43","Renê (LAT)","Flamengo","10,58",5,"6,78","2,40","-1,15",15,NA,NA,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,17
"44","Rodrigo Caio (ZAG)","São Paulo","12,76",2,"6,55","0,00","0,00",3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3
"45","Maicon (MEI)","Grêmio","9,36",5,"6,52","3,70","0,34",12,2,NA,NA,7,3,1,NA,NA,NA,NA,NA,1,NA,NA,7,NA,10
"46","Aderlan (LAT)","América-MG","4,12",2,"6,50","8,90","1,60",8,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,6
"47","Anselmo (MEI)","Sport","13,16",6,"6,50","7,50","0,50",27,NA,NA,NA,12,3,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,12
"48","Matheus Fernandes (MEI)","Botafogo","14,13",6,"6,45","4,40","-0,06",22,NA,1,NA,5,3,1,1,NA,NA,NA,NA,1,NA,NA,5,NA,13
